(33, tf.Tensor(7, shape=(), dtype=int64), tf.Tensor(1, shape=(), dtype=int64))
(5284, tf.Tensor(3, shape=(), dtype=int64), tf.Tensor(1, shape=(), dtype=int64))
(5329, tf.Tensor(5, shape=(), dtype=int64), tf.Tensor(0, shape=(), dtype=int64))
(5427, tf.Tensor(4, shape=(), dtype=int64), tf.Tensor(9, shape=(), dtype=int64))
(5458, tf.Tensor(7, shape=(), dtype=int64), tf.Tensor(9, shape=(), dtype=int64))
(5534, tf.Tensor(5, shape=(), dtype=int64), tf.Tensor(9, shape=(), dtype=int64))
(5556, tf.Tensor(0, shape=(), dtype=int64), tf.Tensor(8, shape=(), dtype=int64))
(5570, tf.Tensor(3, shape=(), dtype=int64), tf.Tensor(9, shape=(), dtype=int64))
(5608, tf.Tensor(2, shape=(), dtype=int64), tf.Tensor(8, shape=(), dtype=int64))
(5681, tf.Tensor(4, shape=(), dtype=int64), tf.Tensor(9, shape=(), dtype=int64))
(5735, tf.Tensor(8, shape=(), dtype=int64), tf.Tensor(0, shape=(), dtype=int64))
(5746, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(2, shape=(), dtype=int64))
(5779, tf.Tensor(8, shape=(), dtype=int64), tf.Tensor(5, shape=(), dtype=int64))
(5783, tf.Tensor(7, shape=(), dtype=int64), tf.Tensor(8, shape=(), dtype=int64))
(5796, tf.Tensor(4, shape=(), dtype=int64), tf.Tensor(9, shape=(), dtype=int64))
(5846, tf.Tensor(4, shape=(), dtype=int64), tf.Tensor(2, shape=(), dtype=int64))
(5849, tf.Tensor(2, shape=(), dtype=int64), tf.Tensor(3, shape=(), dtype=int64))
(5864, tf.Tensor(0, shape=(), dtype=int64), tf.Tensor(6, shape=(), dtype=int64))
(5915, tf.Tensor(4, shape=(), dtype=int64), tf.Tensor(9, shape=(), dtype=int64))
(5929, tf.Tensor(4, shape=(), dtype=int64), tf.Tensor(2, shape=(), dtype=int64))
(5935, tf.Tensor(5, shape=(), dtype=int64), tf.Tensor(6, shape=(), dtype=int64))
(5938, tf.Tensor(4, shape=(), dtype=int64), tf.Tensor(8, shape=(), dtype=int64))
(5953, tf.Tensor(5, shape=(), dtype=int64), tf.Tensor(3, shape=(), dtype=int64))
(6037, tf.Tensor(8, shape=(), dtype=int64), tf.Tensor(9, shape=(), dtype=int64))
(6046, tf.Tensor(0, shape=(), dtype=int64), tf.Tensor(6, shape=(), dtype=int64))
(6176, tf.Tensor(3, shape=(), dtype=int64), tf.Tensor(5, shape=(), dtype=int64))
(6249, tf.Tensor(3, shape=(), dtype=int64), tf.Tensor(8, shape=(), dtype=int64))
(6255, tf.Tensor(4, shape=(), dtype=int64), tf.Tensor(6, shape=(), dtype=int64))
(6323, tf.Tensor(8, shape=(), dtype=int64), tf.Tensor(5, shape=(), dtype=int64))
(6348, tf.Tensor(1, shape=(), dtype=int64), tf.Tensor(2, shape=(), dtype=int64))
(6364, tf.Tensor(0, shape=(), dtype=int64), tf.Tensor(6, shape=(), dtype=int64))
(6373, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(8, shape=(), dtype=int64))
(6387, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(3, shape=(), dtype=int64))
(6458, tf.Tensor(2, shape=(), dtype=int64), tf.Tensor(3, shape=(), dtype=int64))
(6489, tf.Tensor(6, shape=(), dtype=int64), tf.Tensor(5, shape=(), dtype=int64))
(6511, tf.Tensor(7, shape=(), dtype=int64), tf.Tensor(1, shape=(), dtype=int64))
(6516, tf.Tensor(0, shape=(), dtype=int64), tf.Tensor(7, shape=(), dtype=int64))
(6603, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(4, shape=(), dtype=int64))
(6663, tf.Tensor(7, shape=(), dtype=int64), tf.Tensor(2, shape=(), dtype=int64))
(6681, tf.Tensor(4, shape=(), dtype=int64), tf.Tensor(9, shape=(), dtype=int64))
(6692, tf.Tensor(7, shape=(), dtype=int64), tf.Tensor(3, shape=(), dtype=int64))
(6714, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(4, shape=(), dtype=int64))
(6843, tf.Tensor(5, shape=(), dtype=int64), tf.Tensor(3, shape=(), dtype=int64))
(6861, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(1, shape=(), dtype=int64))
(6897, tf.Tensor(8, shape=(), dtype=int64), tf.Tensor(1, shape=(), dtype=int64))
(6954, tf.Tensor(4, shape=(), dtype=int64), tf.Tensor(9, shape=(), dtype=int64))
(6963, tf.Tensor(5, shape=(), dtype=int64), tf.Tensor(8, shape=(), dtype=int64))
(6966, tf.Tensor(8, shape=(), dtype=int64), tf.Tensor(9, shape=(), dtype=int64))
(6995, tf.Tensor(7, shape=(), dtype=int64), tf.Tensor(1, shape=(), dtype=int64))
(7017, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(4, shape=(), dtype=int64))
(7037, tf.Tensor(8, shape=(), dtype=int64), tf.Tensor(6, shape=(), dtype=int64))
(7076, tf.Tensor(8, shape=(), dtype=int64), tf.Tensor(9, shape=(), dtype=int64))
(7148, tf.Tensor(4, shape=(), dtype=int64), tf.Tensor(2, shape=(), dtype=int64))
(7152, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(1, shape=(), dtype=int64))
(7201, tf.Tensor(7, shape=(), dtype=int64), tf.Tensor(2, shape=(), dtype=int64))
(7209, tf.Tensor(6, shape=(), dtype=int64), tf.Tensor(4, shape=(), dtype=int64))
(7215, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(5, shape=(), dtype=int64))
(7243, tf.Tensor(7, shape=(), dtype=int64), tf.Tensor(3, shape=(), dtype=int64))
(7254, tf.Tensor(7, shape=(), dtype=int64), tf.Tensor(1, shape=(), dtype=int64))
(7300, tf.Tensor(6, shape=(), dtype=int64), tf.Tensor(1, shape=(), dtype=int64))
(7331, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(1, shape=(), dtype=int64))
(7337, tf.Tensor(4, shape=(), dtype=int64), tf.Tensor(6, shape=(), dtype=int64))
(7359, tf.Tensor(7, shape=(), dtype=int64), tf.Tensor(2, shape=(), dtype=int64))
(7383, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(0, shape=(), dtype=int64))
(7399, tf.Tensor(5, shape=(), dtype=int64), tf.Tensor(8, shape=(), dtype=int64))
(7427, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(4, shape=(), dtype=int64))
(7453, tf.Tensor(4, shape=(), dtype=int64), tf.Tensor(6, shape=(), dtype=int64))
(7577, tf.Tensor(5, shape=(), dtype=int64), tf.Tensor(3, shape=(), dtype=int64))
(7609, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(6, shape=(), dtype=int64))
(7704, tf.Tensor(6, shape=(), dtype=int64), tf.Tensor(2, shape=(), dtype=int64))
(7763, tf.Tensor(6, shape=(), dtype=int64), tf.Tensor(0, shape=(), dtype=int64))
(7829, tf.Tensor(6, shape=(), dtype=int64), tf.Tensor(2, shape=(), dtype=int64))
(7842, tf.Tensor(2, shape=(), dtype=int64), tf.Tensor(1, shape=(), dtype=int64))
(7940, tf.Tensor(7, shape=(), dtype=int64), tf.Tensor(2, shape=(), dtype=int64))
(7963, tf.Tensor(0, shape=(), dtype=int64), tf.Tensor(2, shape=(), dtype=int64))
(7979, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(3, shape=(), dtype=int64))
(8003, tf.Tensor(8, shape=(), dtype=int64), tf.Tensor(6, shape=(), dtype=int64))
(8075, tf.Tensor(6, shape=(), dtype=int64), tf.Tensor(0, shape=(), dtype=int64))
(8120, tf.Tensor(5, shape=(), dtype=int64), tf.Tensor(7, shape=(), dtype=int64))
(8219, tf.Tensor(2, shape=(), dtype=int64), tf.Tensor(4, shape=(), dtype=int64))
(8240, tf.Tensor(3, shape=(), dtype=int64), tf.Tensor(5, shape=(), dtype=int64))
(8292, tf.Tensor(5, shape=(), dtype=int64), tf.Tensor(6, shape=(), dtype=int64))
(8314, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(3, shape=(), dtype=int64))
(8338, tf.Tensor(5, shape=(), dtype=int64), tf.Tensor(6, shape=(), dtype=int64))
(8429, tf.Tensor(8, shape=(), dtype=int64), tf.Tensor(1, shape=(), dtype=int64))
(8449, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(3, shape=(), dtype=int64))
(8533, tf.Tensor(8, shape=(), dtype=int64), tf.Tensor(3, shape=(), dtype=int64))
(8550, tf.Tensor(3, shape=(), dtype=int64), tf.Tensor(9, shape=(), dtype=int64))
(8603, tf.Tensor(5, shape=(), dtype=int64), tf.Tensor(1, shape=(), dtype=int64))
(8618, tf.Tensor(7, shape=(), dtype=int64), tf.Tensor(2, shape=(), dtype=int64))
(8637, tf.Tensor(4, shape=(), dtype=int64), tf.Tensor(9, shape=(), dtype=int64))
(8667, tf.Tensor(5, shape=(), dtype=int64), tf.Tensor(1, shape=(), dtype=int64))
(8669, tf.Tensor(5, shape=(), dtype=int64), tf.Tensor(3, shape=(), dtype=int64))
(8682, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(4, shape=(), dtype=int64))
(8708, tf.Tensor(2, shape=(), dtype=int64), tf.Tensor(8, shape=(), dtype=int64))
(8734, tf.Tensor(8, shape=(), dtype=int64), tf.Tensor(3, shape=(), dtype=int64))
(8745, tf.Tensor(5, shape=(), dtype=int64), tf.Tensor(3, shape=(), dtype=int64))
(8792, tf.Tensor(5, shape=(), dtype=int64), tf.Tensor(3, shape=(), dtype=int64))
(8838, tf.Tensor(7, shape=(), dtype=int64), tf.Tensor(9, shape=(), dtype=int64))
(8876, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(6, shape=(), dtype=int64))
(8896, tf.Tensor(7, shape=(), dtype=int64), tf.Tensor(4, shape=(), dtype=int64))
(8973, tf.Tensor(4, shape=(), dtype=int64), tf.Tensor(9, shape=(), dtype=int64))
(8980, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(4, shape=(), dtype=int64))
(8986, tf.Tensor(1, shape=(), dtype=int64), tf.Tensor(6, shape=(), dtype=int64))
(8988, tf.Tensor(5, shape=(), dtype=int64), tf.Tensor(3, shape=(), dtype=int64))
(9047, tf.Tensor(6, shape=(), dtype=int64), tf.Tensor(1, shape=(), dtype=int64))
(9147, tf.Tensor(8, shape=(), dtype=int64), tf.Tensor(6, shape=(), dtype=int64))
(9186, tf.Tensor(5, shape=(), dtype=int64), tf.Tensor(0, shape=(), dtype=int64))
(9187, tf.Tensor(8, shape=(), dtype=int64), tf.Tensor(3, shape=(), dtype=int64))
(9235, tf.Tensor(1, shape=(), dtype=int64), tf.Tensor(8, shape=(), dtype=int64))
(9256, tf.Tensor(2, shape=(), dtype=int64), tf.Tensor(1, shape=(), dtype=int64))
(9276, tf.Tensor(2, shape=(), dtype=int64), tf.Tensor(7, shape=(), dtype=int64))
(9388, tf.Tensor(5, shape=(), dtype=int64), tf.Tensor(1, shape=(), dtype=int64))
(9395, tf.Tensor(4, shape=(), dtype=int64), tf.Tensor(9, shape=(), dtype=int64))
(9433, tf.Tensor(8, shape=(), dtype=int64), tf.Tensor(0, shape=(), dtype=int64))
(9436, tf.Tensor(0, shape=(), dtype=int64), tf.Tensor(5, shape=(), dtype=int64))
(9467, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(8, shape=(), dtype=int64))
