(30, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(0, shape=(), dtype=int64))
(5746, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(8, shape=(), dtype=int64))
(5868, tf.Tensor(3, shape=(), dtype=int64), tf.Tensor(8, shape=(), dtype=int64))
(5953, tf.Tensor(5, shape=(), dtype=int64), tf.Tensor(3, shape=(), dtype=int64))
(5955, tf.Tensor(5, shape=(), dtype=int64), tf.Tensor(2, shape=(), dtype=int64))
(6028, tf.Tensor(1, shape=(), dtype=int64), tf.Tensor(4, shape=(), dtype=int64))
(6041, tf.Tensor(8, shape=(), dtype=int64), tf.Tensor(6, shape=(), dtype=int64))
(6051, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(5, shape=(), dtype=int64))
(6076, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(5, shape=(), dtype=int64))
(6174, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(7, shape=(), dtype=int64))
(6249, tf.Tensor(3, shape=(), dtype=int64), tf.Tensor(8, shape=(), dtype=int64))
(6323, tf.Tensor(8, shape=(), dtype=int64), tf.Tensor(5, shape=(), dtype=int64))
(6348, tf.Tensor(1, shape=(), dtype=int64), tf.Tensor(2, shape=(), dtype=int64))
(6364, tf.Tensor(0, shape=(), dtype=int64), tf.Tensor(6, shape=(), dtype=int64))
(6489, tf.Tensor(6, shape=(), dtype=int64), tf.Tensor(3, shape=(), dtype=int64))
(6516, tf.Tensor(0, shape=(), dtype=int64), tf.Tensor(7, shape=(), dtype=int64))
(6585, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(5, shape=(), dtype=int64))
(6603, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(3, shape=(), dtype=int64))
(6663, tf.Tensor(7, shape=(), dtype=int64), tf.Tensor(2, shape=(), dtype=int64))
(6714, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(4, shape=(), dtype=int64))
(6809, tf.Tensor(3, shape=(), dtype=int64), tf.Tensor(5, shape=(), dtype=int64))
(6811, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(4, shape=(), dtype=int64))
(6821, tf.Tensor(8, shape=(), dtype=int64), tf.Tensor(2, shape=(), dtype=int64))
(7009, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(4, shape=(), dtype=int64))
(7037, tf.Tensor(8, shape=(), dtype=int64), tf.Tensor(2, shape=(), dtype=int64))
(7152, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(4, shape=(), dtype=int64))
(7179, tf.Tensor(8, shape=(), dtype=int64), tf.Tensor(3, shape=(), dtype=int64))
(7201, tf.Tensor(7, shape=(), dtype=int64), tf.Tensor(2, shape=(), dtype=int64))
(7215, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(5, shape=(), dtype=int64))
(7239, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(7, shape=(), dtype=int64))
(7247, tf.Tensor(4, shape=(), dtype=int64), tf.Tensor(9, shape=(), dtype=int64))
(7300, tf.Tensor(6, shape=(), dtype=int64), tf.Tensor(1, shape=(), dtype=int64))
(7384, tf.Tensor(4, shape=(), dtype=int64), tf.Tensor(9, shape=(), dtype=int64))
(7446, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(4, shape=(), dtype=int64))
(7463, tf.Tensor(2, shape=(), dtype=int64), tf.Tensor(7, shape=(), dtype=int64))
(7531, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(4, shape=(), dtype=int64))
(7609, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(4, shape=(), dtype=int64))
(7660, tf.Tensor(5, shape=(), dtype=int64), tf.Tensor(3, shape=(), dtype=int64))
(7763, tf.Tensor(6, shape=(), dtype=int64), tf.Tensor(0, shape=(), dtype=int64))
(7829, tf.Tensor(6, shape=(), dtype=int64), tf.Tensor(8, shape=(), dtype=int64))
(7836, tf.Tensor(1, shape=(), dtype=int64), tf.Tensor(2, shape=(), dtype=int64))
(7940, tf.Tensor(7, shape=(), dtype=int64), tf.Tensor(2, shape=(), dtype=int64))
(7963, tf.Tensor(0, shape=(), dtype=int64), tf.Tensor(2, shape=(), dtype=int64))
(8075, tf.Tensor(6, shape=(), dtype=int64), tf.Tensor(0, shape=(), dtype=int64))
(8140, tf.Tensor(5, shape=(), dtype=int64), tf.Tensor(3, shape=(), dtype=int64))
(8222, tf.Tensor(5, shape=(), dtype=int64), tf.Tensor(3, shape=(), dtype=int64))
(8240, tf.Tensor(3, shape=(), dtype=int64), tf.Tensor(5, shape=(), dtype=int64))
(8292, tf.Tensor(5, shape=(), dtype=int64), tf.Tensor(6, shape=(), dtype=int64))
(8479, tf.Tensor(2, shape=(), dtype=int64), tf.Tensor(1, shape=(), dtype=int64))
(8548, tf.Tensor(3, shape=(), dtype=int64), tf.Tensor(7, shape=(), dtype=int64))
(8618, tf.Tensor(7, shape=(), dtype=int64), tf.Tensor(2, shape=(), dtype=int64))
(8627, tf.Tensor(1, shape=(), dtype=int64), tf.Tensor(3, shape=(), dtype=int64))
(8687, tf.Tensor(3, shape=(), dtype=int64), tf.Tensor(5, shape=(), dtype=int64))
(8708, tf.Tensor(2, shape=(), dtype=int64), tf.Tensor(8, shape=(), dtype=int64))
(8780, tf.Tensor(2, shape=(), dtype=int64), tf.Tensor(3, shape=(), dtype=int64))
(8876, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(0, shape=(), dtype=int64))
(8965, tf.Tensor(1, shape=(), dtype=int64), tf.Tensor(7, shape=(), dtype=int64))
(8973, tf.Tensor(4, shape=(), dtype=int64), tf.Tensor(9, shape=(), dtype=int64))
(8980, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(4, shape=(), dtype=int64))
(8988, tf.Tensor(5, shape=(), dtype=int64), tf.Tensor(3, shape=(), dtype=int64))
(9047, tf.Tensor(6, shape=(), dtype=int64), tf.Tensor(1, shape=(), dtype=int64))
(9186, tf.Tensor(5, shape=(), dtype=int64), tf.Tensor(0, shape=(), dtype=int64))
(9187, tf.Tensor(8, shape=(), dtype=int64), tf.Tensor(0, shape=(), dtype=int64))
(9215, tf.Tensor(7, shape=(), dtype=int64), tf.Tensor(4, shape=(), dtype=int64))
(9237, tf.Tensor(8, shape=(), dtype=int64), tf.Tensor(9, shape=(), dtype=int64))
(9276, tf.Tensor(2, shape=(), dtype=int64), tf.Tensor(7, shape=(), dtype=int64))
(9433, tf.Tensor(8, shape=(), dtype=int64), tf.Tensor(0, shape=(), dtype=int64))
(9495, tf.Tensor(5, shape=(), dtype=int64), tf.Tensor(3, shape=(), dtype=int64))
(9508, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(5, shape=(), dtype=int64))
(9528, tf.Tensor(6, shape=(), dtype=int64), tf.Tensor(4, shape=(), dtype=int64))
(9627, tf.Tensor(1, shape=(), dtype=int64), tf.Tensor(2, shape=(), dtype=int64))
(9661, tf.Tensor(8, shape=(), dtype=int64), tf.Tensor(0, shape=(), dtype=int64))
(9831, tf.Tensor(6, shape=(), dtype=int64), tf.Tensor(8, shape=(), dtype=int64))
(9898, tf.Tensor(4, shape=(), dtype=int64), tf.Tensor(6, shape=(), dtype=int64))
(9954, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(7, shape=(), dtype=int64))
(9990, tf.Tensor(5, shape=(), dtype=int64), tf.Tensor(8, shape=(), dtype=int64))
In total of 163 wrong predictions for this testing data
