(33, tf.Tensor(7, shape=(), dtype=int64), tf.Tensor(3, shape=(), dtype=int64))
(3640, tf.Tensor(0, shape=(), dtype=int64), tf.Tensor(6, shape=(), dtype=int64))
(3647, tf.Tensor(8, shape=(), dtype=int64), tf.Tensor(5, shape=(), dtype=int64))
(3721, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(4, shape=(), dtype=int64))
(3729, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(4, shape=(), dtype=int64))
(3962, tf.Tensor(5, shape=(), dtype=int64), tf.Tensor(6, shape=(), dtype=int64))
(4029, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(3, shape=(), dtype=int64))
(4079, tf.Tensor(2, shape=(), dtype=int64), tf.Tensor(7, shape=(), dtype=int64))
(4091, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(4, shape=(), dtype=int64))
(4201, tf.Tensor(8, shape=(), dtype=int64), tf.Tensor(9, shape=(), dtype=int64))
(4205, tf.Tensor(0, shape=(), dtype=int64), tf.Tensor(6, shape=(), dtype=int64))
(4479, tf.Tensor(8, shape=(), dtype=int64), tf.Tensor(0, shape=(), dtype=int64))
(4531, tf.Tensor(5, shape=(), dtype=int64), tf.Tensor(3, shape=(), dtype=int64))
(4545, tf.Tensor(3, shape=(), dtype=int64), tf.Tensor(7, shape=(), dtype=int64))
(4592, tf.Tensor(1, shape=(), dtype=int64), tf.Tensor(2, shape=(), dtype=int64))
(4751, tf.Tensor(6, shape=(), dtype=int64), tf.Tensor(4, shape=(), dtype=int64))
(4808, tf.Tensor(7, shape=(), dtype=int64), tf.Tensor(2, shape=(), dtype=int64))
(4830, tf.Tensor(8, shape=(), dtype=int64), tf.Tensor(3, shape=(), dtype=int64))
(4861, tf.Tensor(3, shape=(), dtype=int64), tf.Tensor(5, shape=(), dtype=int64))
(4894, tf.Tensor(7, shape=(), dtype=int64), tf.Tensor(1, shape=(), dtype=int64))
(5208, tf.Tensor(8, shape=(), dtype=int64), tf.Tensor(7, shape=(), dtype=int64))
(5247, tf.Tensor(7, shape=(), dtype=int64), tf.Tensor(8, shape=(), dtype=int64))
(5269, tf.Tensor(7, shape=(), dtype=int64), tf.Tensor(2, shape=(), dtype=int64))
(5329, tf.Tensor(5, shape=(), dtype=int64), tf.Tensor(0, shape=(), dtype=int64))
(5556, tf.Tensor(0, shape=(), dtype=int64), tf.Tensor(8, shape=(), dtype=int64))
(5735, tf.Tensor(8, shape=(), dtype=int64), tf.Tensor(6, shape=(), dtype=int64))
(5746, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(8, shape=(), dtype=int64))
(5767, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(7, shape=(), dtype=int64))
(5846, tf.Tensor(4, shape=(), dtype=int64), tf.Tensor(6, shape=(), dtype=int64))
(5868, tf.Tensor(3, shape=(), dtype=int64), tf.Tensor(8, shape=(), dtype=int64))
(5879, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(7, shape=(), dtype=int64))
(5935, tf.Tensor(5, shape=(), dtype=int64), tf.Tensor(6, shape=(), dtype=int64))
(5953, tf.Tensor(5, shape=(), dtype=int64), tf.Tensor(3, shape=(), dtype=int64))
(5955, tf.Tensor(5, shape=(), dtype=int64), tf.Tensor(2, shape=(), dtype=int64))
(5974, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(4, shape=(), dtype=int64))
(6028, tf.Tensor(1, shape=(), dtype=int64), tf.Tensor(6, shape=(), dtype=int64))
(6037, tf.Tensor(8, shape=(), dtype=int64), tf.Tensor(9, shape=(), dtype=int64))
(6041, tf.Tensor(8, shape=(), dtype=int64), tf.Tensor(6, shape=(), dtype=int64))
(6249, tf.Tensor(3, shape=(), dtype=int64), tf.Tensor(9, shape=(), dtype=int64))
(6348, tf.Tensor(1, shape=(), dtype=int64), tf.Tensor(2, shape=(), dtype=int64))
(6516, tf.Tensor(0, shape=(), dtype=int64), tf.Tensor(7, shape=(), dtype=int64))
(6603, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(4, shape=(), dtype=int64))
(6714, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(4, shape=(), dtype=int64))
(6729, tf.Tensor(8, shape=(), dtype=int64), tf.Tensor(9, shape=(), dtype=int64))
(6811, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(4, shape=(), dtype=int64))
(6821, tf.Tensor(8, shape=(), dtype=int64), tf.Tensor(2, shape=(), dtype=int64))
(7152, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(1, shape=(), dtype=int64))
(7201, tf.Tensor(7, shape=(), dtype=int64), tf.Tensor(2, shape=(), dtype=int64))
(7239, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(7, shape=(), dtype=int64))
(7247, tf.Tensor(4, shape=(), dtype=int64), tf.Tensor(9, shape=(), dtype=int64))
(7300, tf.Tensor(6, shape=(), dtype=int64), tf.Tensor(1, shape=(), dtype=int64))
(7313, tf.Tensor(8, shape=(), dtype=int64), tf.Tensor(7, shape=(), dtype=int64))
(7384, tf.Tensor(4, shape=(), dtype=int64), tf.Tensor(9, shape=(), dtype=int64))
(7446, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(4, shape=(), dtype=int64))
(7577, tf.Tensor(5, shape=(), dtype=int64), tf.Tensor(3, shape=(), dtype=int64))
(7609, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(4, shape=(), dtype=int64))
(7660, tf.Tensor(5, shape=(), dtype=int64), tf.Tensor(3, shape=(), dtype=int64))
(7829, tf.Tensor(6, shape=(), dtype=int64), tf.Tensor(2, shape=(), dtype=int64))
(7940, tf.Tensor(7, shape=(), dtype=int64), tf.Tensor(2, shape=(), dtype=int64))
(8240, tf.Tensor(3, shape=(), dtype=int64), tf.Tensor(5, shape=(), dtype=int64))
(8292, tf.Tensor(5, shape=(), dtype=int64), tf.Tensor(6, shape=(), dtype=int64))
(8449, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(3, shape=(), dtype=int64))
(8548, tf.Tensor(3, shape=(), dtype=int64), tf.Tensor(2, shape=(), dtype=int64))
(8603, tf.Tensor(5, shape=(), dtype=int64), tf.Tensor(6, shape=(), dtype=int64))
(8618, tf.Tensor(7, shape=(), dtype=int64), tf.Tensor(2, shape=(), dtype=int64))
(8687, tf.Tensor(3, shape=(), dtype=int64), tf.Tensor(5, shape=(), dtype=int64))
(8876, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(4, shape=(), dtype=int64))
(8973, tf.Tensor(4, shape=(), dtype=int64), tf.Tensor(9, shape=(), dtype=int64))
(8980, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(4, shape=(), dtype=int64))
(8986, tf.Tensor(1, shape=(), dtype=int64), tf.Tensor(6, shape=(), dtype=int64))
(9168, tf.Tensor(4, shape=(), dtype=int64), tf.Tensor(9, shape=(), dtype=int64))
(9276, tf.Tensor(2, shape=(), dtype=int64), tf.Tensor(7, shape=(), dtype=int64))
(9433, tf.Tensor(8, shape=(), dtype=int64), tf.Tensor(0, shape=(), dtype=int64))
(9457, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(4, shape=(), dtype=int64))
(9465, tf.Tensor(1, shape=(), dtype=int64), tf.Tensor(6, shape=(), dtype=int64))
(9495, tf.Tensor(5, shape=(), dtype=int64), tf.Tensor(3, shape=(), dtype=int64))
(9508, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(5, shape=(), dtype=int64))
(9538, tf.Tensor(3, shape=(), dtype=int64), tf.Tensor(7, shape=(), dtype=int64))
(9562, tf.Tensor(7, shape=(), dtype=int64), tf.Tensor(9, shape=(), dtype=int64))
(9608, tf.Tensor(2, shape=(), dtype=int64), tf.Tensor(6, shape=(), dtype=int64))
(9627, tf.Tensor(1, shape=(), dtype=int64), tf.Tensor(6, shape=(), dtype=int64))
(9661, tf.Tensor(8, shape=(), dtype=int64), tf.Tensor(0, shape=(), dtype=int64))
(9793, tf.Tensor(3, shape=(), dtype=int64), tf.Tensor(5, shape=(), dtype=int64))
(9851, tf.Tensor(9, shape=(), dtype=int64), tf.Tensor(7, shape=(), dtype=int64))
(9898, tf.Tensor(4, shape=(), dtype=int64), tf.Tensor(6, shape=(), dtype=int64))
(9990, tf.Tensor(5, shape=(), dtype=int64), tf.Tensor(8, shape=(), dtype=int64))
In total of 120 wrong predictions for this testing data
